amplitude,status,max_tilt_degrees,min_root_height,max_xy_distance,message
0.02,OK,17.163701205093446,0.07567756714022589,0.0025567586040548987,Stable.
0.04,OK,17.071388328085128,0.07567756714022589,0.002545059638374082,Stable.
0.06,OK,16.97866021883438,0.07567756714022589,0.0025333032517040393,Stable.
0.08,OK,16.88552091923757,0.07567756714022589,0.00252148970503362,Stable.
0.1,OK,16.79197451299223,0.07567756714022589,0.002509619265785997,Stable.
0.12,OK,16.69802512534554,0.07567756714022589,0.002497692207834391,Stable.
0.14,OK,16.603676922834318,0.07567756714022589,0.002485708811516454,Stable.
0.16,OK,16.50893411301578,0.07567756714022589,0.0024736693636471085,Stable.
0.18,OK,16.41380094418908,0.07567756714022589,0.0024615741575294676,Stable.
0.2,OK,16.318281705108017,0.07567756714022589,0.00244942349296419,Stable.
